key_resp.keys,key_resp.rt,practice_taps.keys,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?'",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,practice_taps.rt,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt,"If you are not an MTurk worker, please provide your email address"
,,,,,,,,,,block_1/none_n_81_3.wav,no,n,none,81.0,1.098648096,17.74277508,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.425000000000182,2.9890000000000327,3.451000000000022,3.6230000000000473,4.222999999999956,4.432000000000244,4.617000000000189,4.7840000000001055,4.968000000000302,5.148999999999887,5.34900000000016,5.552999999999884,5.769000000000233,5.983999999999924,6.20699999999988,6.416999999999916,6.6340000000000146,6.844000000000051,7.059999999999945,7.4909999999999854,7.718000000000302,7.951000000000022,8.190999999999804,8.427000000000135,8.651000000000295,8.885000000000218,9.110000000000127,9.349999999999909,9.592000000000098,9.852000000000317,10.07300000000032,10.273999999999887,10.489000000000033,10.719000000000051,10.92599999999993,11.151000000000295,11.376000000000204,11.576000000000022,11.789999999999964,12.00500000000011,12.204000000000178,12.41800000000012,12.617999999999938,12.838000000000193,13.041999999999916,13.222999999999956,13.405999999999949,13.625,13.81899999999996,14.018000000000029,14.224999999999909,14.451000000000022,14.639000000000124,14.958000000000084,15.16800000000012,15.360000000000127,15.554000000000087,15.818000000000211,16.027000000000044,16.251000000000204,16.704999999999927]",space,0.688,0.0,6.0,6.0,29.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_n_72_3.wav,no,n,none,72.0,1.892162994,23.61892036,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.3979999999996835,2.092999999999847,3.7039999999997235,4.335999999999785,5.213999999999942,5.856999999999516,6.631999999999607,7.389999999999873,8.088999999999942,8.856999999999516,9.514999999999873,10.355000000000018,10.914999999999964,12.039999999999964,12.703999999999724,13.340999999999894,13.974999999999909,14.542999999999665,15.204999999999927,15.907999999999902,16.498999999999796,17.3149999999996,17.868999999999687,18.497999999999593,19.139999999999873,19.703999999999724,20.281999999999698,20.866999999999734,21.39099999999962,21.916999999999916,22.859999999999673]",space,0.462,0.0,7.0,7.0,18.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_n_72_4.wav,no,n,none,72.0,1.118979514,23.86124709,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.1880000000001019,2.086999999999989,2.938999999999851,3.6269999999999527,4.183999999999742,4.867999999999938,5.549999999999727,6.257999999999811,6.967000000000098,7.817000000000007,8.50799999999981,9.275000000000091,10.018000000000029,10.572999999999865,11.125,11.615999999999985,12.498999999999796,13.206000000000131,14.023999999999887,14.63299999999981,15.315999999999804,15.916999999999916,16.65000000000009,17.25799999999981,17.942999999999756,18.605999999999767,19.273999999999887,19.889999999999873,20.47699999999986,21.452999999999975,21.847999999999956,22.454999999999927]",space,1.292,0.0,8.0,8.0,21.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_n_81_3.wav,no,n,medium,81.0,1.199970007,16.72060493,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.2449999999998909,1.9949999999998909,2.793999999999869,3.650000000000091,4.434999999999945,5.26299999999992,6.066000000000258,6.883000000000266,7.7159999999998945,8.461999999999989,9.284999999999854,10.05099999999993,10.876000000000204,11.677999999999884,12.503999999999905,13.416999999999916,14.114999999999782,14.927000000000135,15.651000000000295]",space,0.674,0.0,9.0,9.0,33.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_n_92_3.wav,no,n,medium,92.0,1.602440637,13.28810957,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.3230000000003201,1.662000000000262,2.1580000000003565,2.7090000000002874,3.3719999999998436,3.96100000000024,4.64200000000028,5.1840000000001965,5.726000000000113,6.356999999999971,6.983999999999924,7.617999999999938,8.184999999999945,8.827999999999975,9.373000000000047,9.985000000000127,10.586999999999989,11.184999999999945,11.825000000000273]",space,1.586,0.0,10.0,10.0,2.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_n_72_4.wav,no,n,strong,72.0,1.599228342,16.96784512,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9290000000000873,1.3159999999998035,2.20699999999988,3.0119999999997162,3.800999999999931,4.600999999999658,5.380999999999858,6.1720000000000255,6.954999999999927,7.750999999999749,8.567999999999756,9.389999999999873,10.13000000000011,10.94900000000007,11.672999999999774,12.462999999999738,13.26299999999992,14.080999999999676,14.820999999999913,15.672999999999774]",space,0.483,0.0,11.0,11.0,35.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/weak_n_105_3.wav,no,n,weak,105.0,1.738990723,13.41450093,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9679999999998472,1.4880000000002838,2.2780000000002474,3.0100000000002183,3.7899999999999636,4.544000000000324,5.119000000000142,5.742000000000189,6.317000000000007,6.79300000000012,7.38799999999992,7.941000000000258,8.55600000000004,9.139000000000124,9.710000000000036,10.258000000000266,10.775000000000091,11.360000000000127,11.91800000000012]",space,0.332,0.0,12.0,12.0,27.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_n_81_4.wav,no,n,none,81.0,2.242955119,22.19488256,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.48900000000003274,0.9900000000002365,1.410000000000764,1.9520000000002256,2.21100000000024,2.6390000000001237,2.8580000000001746,3.155999999999949,3.437000000000353,3.73700000000008,4.001000000000204,4.369000000000142,4.637000000000171,4.9520000000002256,5.277000000000044,5.4780000000000655,5.688999999999851,5.901000000000295,6.300000000000182,6.4909999999999854,6.66800000000012,6.850000000000364,7.050000000000182,7.251999999999953,7.437000000000353,7.626999999999953,7.825000000000273,7.994000000000142,8.167000000000371,8.350000000000364,8.518000000000029,8.677000000000135,8.836999999999989,9,9.169000000000324,9.344000000000051,9.501000000000204,9.687000000000353,9.83600000000024,10.01700000000028,10.167000000000371,10.423999999999978,10.557999999999993,10.706000000000131,10.978000000000065,11.167000000000371,11.327000000000226,11.489000000000033,11.66800000000012,11.827999999999975,11.99200000000019,12.169000000000324,12.33600000000024,12.507000000000062,12.700000000000273,12.867999999999938,13.039999999999964,13.390000000000327,13.539999999999964,14.026000000000295,14.184000000000196,14.32300000000032,14.452999999999975,14.702999999999975,14.876999999999953,15.057000000000244,15.217000000000098,15.519000000000233,15.691000000000258,15.838999999999942,15.99200000000019,16.138000000000375,16.307000000000244,16.475000000000364,16.61700000000019,16.75,16.888000000000375,17.01800000000003,17.157000000000153,17.289000000000215,17.43899999999985,17.588999999999942,17.702000000000226,18.009000000000015,18.149000000000342,18.437000000000353,18.55099999999993,18.675000000000182,18.81899999999996,18.96600000000035,19.139000000000124,19.294000000000324,19.467999999999847,19.756000000000313,19.873000000000047,20.01800000000003]",space,0.334,0.0,13.0,13.0,26.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_n_119_4.wav,no,n,strong,119.0,1.980480326,12.048825,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.849999999999909,1.2210000000000036,1.6599999999998545,2.118999999999687,2.600999999999658,3.094000000000051,3.5859999999997854,4.083000000000084,4.588999999999942,5.132000000000062,5.6340000000000146,6.154999999999745,6.650000000000091,7.152000000000044,7.682999999999993,8.157999999999902,8.67699999999968,9.138999999999669,9.63299999999981,10.138999999999669]",space,0.866,0.0,14.0,14.0,23.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_n_92_3.wav,no,n,none,92.0,2.336707073,18.23675242,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.8040000000000873,1.4030000000002474,2.1530000000002474,2.8170000000000073,3.5230000000001382,4.133000000000266,4.753999999999905,5.425000000000182,6.106999999999971,6.643000000000029,7.31899999999996,8,8.534000000000106,9.204000000000178,9.816000000000258,10.510000000000218,11.139999999999873,11.816000000000258,12.467000000000098,13.16800000000012,13.784999999999854,14.403999999999996,15.121999999999844,15.659000000000106]",space,178.985,0.0,15.0,15.0,25.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_n_105_4.wav,no,n,none,105.0,1.493653366,16.97025201,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9099999999998545,1.293999999999869,1.9659999999998945,2.344000000000051,2.7970000000000255,3.3109999999996944,3.8600000000001273,4.438000000000102,4.960000000000036,5.568000000000211,6.1550000000002,6.766999999999825,7.382000000000062,7.932999999999993,8.503000000000156,9.052000000000135,9.666000000000167,10.277999999999793,10.820000000000164,11.351000000000113,11.909000000000106,12.483999999999924,13.195000000000164,13.811999999999898,14.360999999999876,14.938000000000102,15.496000000000095]",space,8.923,0.0,16.0,16.0,14.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_n_119_4.wav,no,n,medium,119.0,1.261396351,9.568471181,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.5500000000001819,1.080000000000382,1.5340000000001055,2.0210000000001855,2.350000000000364,2.7020000000002256,3.0790000000001783,3.4840000000003783,3.907000000000153,4.304000000000087,4.782000000000153,5.205000000000382,5.6720000000000255,6.135999999999967,6.570000000000164,7.015000000000327,7.486000000000331,7.891000000000076,8.351000000000113]",space,0.671,0.0,17.0,17.0,17.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_n_119_3.wav,no,n,medium,119.0,1.238363393,11.09976929,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.6329999999998108,1.1019999999998618,1.5010000000002037,1.8530000000000655,2.186999999999898,2.4520000000002256,2.8049999999998363,3.132999999999811,3.4830000000001746,3.8769999999999527,4.278999999999996,4.663000000000011,5.094000000000051,5.652999999999793,6.130000000000109,6.648999999999887,7.110000000000127,7.576000000000022,8.050000000000182,8.545000000000073,9.003999999999905,9.498000000000047,9.976999999999862]",space,0.348,0.0,18.0,18.0,22.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/weak_n_119_3.wav,no,n,weak,119.0,2.459758036,10.81612992,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.2330000000001746,1.6380000000003747,2.0340000000001055,2.4220000000000255,2.8760000000002037,3.3079999999999927,3.6849999999999454,4.119000000000142,4.541000000000167,5.001999999999953,5.405999999999949,5.84900000000016,6.258000000000266,6.717000000000098,7.149000000000342,7.56899999999996,8.034000000000106,8.46600000000035]",space,0.457,0.0,19.0,19.0,37.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_n_105_4.wav,no,n,medium,105.0,1.402482856,15.80924023,,,no,,,no,F,35,R,yes,1,2020-08-28_09h24.01.653,kura-A2,2020.1.2,MacIntel,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.569999999999709,1.0519999999996799,1.8659999999999854,2.711999999999989,3.500999999999749,4.101000000000113,4.826000000000022,5.851000000000113,6.580999999999676,7.307999999999993,7.998999999999796,8.826000000000022,9.567999999999756,10.310999999999694,11.025000000000091,11.782999999999902,12.458999999999833,13.17599999999993,13.866999999999734,14.650000000000091]",space,0.525,0.0,20.0,20.0,12.0,1.0,,,,,,,,,,,,,,
