key_resp.keys,key_resp.rt,practice_taps.keys,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session ,date,expName,psychopyVersion,OS,frameRate,practice_taps.rt,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,block_1/medium_t_119_4.wav,timbre,t,medium,119.0,1.399295551,11.22011188,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2950200000195764,0.9340500000107568,1.3964100000157487,1.873475000000326,2.3253850000037346,2.891425000008894,3.337645000021439,3.8352500000037253,4.343395000003511,4.826995000010356,5.376000000018394,5.818900000012945,6.35224500001641,6.818484999996144,7.387054999999236,7.855345000018133,8.445880000013858,8.961240000004182,9.450860000011744,10.048089999996591]",space,3.37099,0.0,16.0,16.0,30.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_t_105_3.wav,timbre,t,strong,105.0,1.518747526,13.05135524,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.6354200000059791,1.2410600000002887,1.7680450000043493,2.3308100000140257,2.918869999994058,3.5531150000169873,4.139599999994971,4.654110000003129,5.297084999998333,5.890429999999469,6.462885000015376,7.023279999993974,7.589440000010654,8.201274999999441,8.785070000012638,9.378555000002962,9.93181999999797,10.578240000002552,11.129695000010543,11.76144000000204]",space,0.90463,0.0,17.0,17.0,21.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_t_92_4.wav,timbre,t,medium,92.0,1.590939721,14.58753836,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.513875000004191,1.2779299999820068,1.9478200000012293,2.6060099999886006,3.2463849999767262,3.9519149999832734,4.5912050000042655,5.2310599999909755,5.963575000001583,6.582209999993211,7.243124999979045,7.96224500000244,8.657844999979716,9.363819999998668,9.951464999991003,10.60683499998413,11.307999999989988,12.025679999991553,12.66273499999079,13.299574999982724]",space,0.70671,0.0,18.0,18.0,25.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_t_105_4.wav,timbre,t,strong,105.0,2.094581561,12.21235934,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.6360900000145193,0.9679750000068452,1.3162750000192318,1.7557450000022072,2.2232249999942724,2.7059100000187755,3.2130250000045635,3.689119999995455,4.217204999993555,4.740640000003623,5.238100000016857,5.72079500000109,6.2246199999935925,6.694054999999935,7.189130000013392,7.69662000000244,8.205970000009984,8.69168499999796,9.199164999998175,9.717875000002095,10.219210000010207]",space,0.61038,0.0,19.0,19.0,18.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_t_81_4.wav,timbre,t,strong,81.0,1.870008989,16.22765071,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.5794549999991432,1.0023050000017975,1.6477299999969546,2.2775350000010803,2.9753700000001118,3.738515000004554,4.46463999999105,5.12138500000583,5.90241499998956,6.622979999985546,7.350249999988591,8.054624999989755,8.820719999988796,9.569290000014007,10.258104999986244,10.922850000002654,11.65236000000732,12.370135000004666,13.173264999990351,13.891889999998966,14.654370000003837]",space,1.335325,0.0,20.0,20.0,34.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/medium_t_81_4.wav,timbre,t,medium,81.0,1.136743646,13.9322992,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.654804999998305,1.1579900000069756,1.8208699999959208,2.521810000005644,3.171505000005709,3.8055250000033993,4.390405000012834,5.002884999994421,5.663689999986673,6.263934999995399,6.997204999992391,7.691879999998491,8.385970000002999,9.017460000002757,9.684069999988424,10.375360000005458,10.973254999989877,11.65442500001518,12.292400000005728,13.011020000005374]",space,1.424265,0.0,21.0,21.0,2.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/none_t_72_3.wav,timbre,t,none,72.0,1.707698408,21.90234693,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.33109500000136904,0.9393900000141002,1.4875800000154413,2.07089500001166,2.8755000000237487,3.6223600000084843,4.306185000023106,4.735430000000633,5.270040000003064,5.987675000011222,6.53379000001587,6.9865800000261515,7.566765000025043,8.228045000025304,8.82640000001993,9.369400000025053,9.778805000009015,10.290375000011409,10.655460000009043,10.917190000007395,11.39328500002739,11.897875000024214,12.520215000025928,13.04310500001884,13.600215000013122,14.17453500002739,14.643250000022817,15.124590000021271,15.640885000000708,16.21059500001138,16.845120000012685,17.37343000000692,17.85584000000381,18.385275000007823,18.924200000008568,19.408425000001444,19.83538000000408,20.425020000024233]",space,3.444325,0.0,22.0,22.0,19.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_t_92_4.wav,timbre,t,strong,92.0,1.022726917,13.26377,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.7742799999832641,1.1105349999852479,1.6772699999855831,2.2815999999875203,2.895829999994021,3.518389999982901,4.172554999997374,4.794605000002775,5.435419999994338,6.091514999978244,6.779244999983348,7.327055000001565,7.949309999996331,8.601579999987734,9.201164999976754,9.864079999999376,10.547384999983478,11.174934999988182,11.783849999977974,12.438709999987623]",space,1.29274,0.0,23.0,23.0,9.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/weak_t_92_4.wav,timbre,t,weak,92.0,1.530875014,13.01332399,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3830700000107754,0.8920449999859557,1.3477100000018254,1.9226699999999255,2.3884499999985565,2.9353750000009313,3.540115000010701,4.088564999983646,4.70935499999905,5.269644999993034,5.826860000001034,6.4936699999962,7.05968499998562,7.6404899999906775,8.212475000007544,8.793539999984205,9.33769499999471,9.91180999999051,10.501164999994216,11.139904999989085,11.725745000003371]",space,0.474785,0.0,24.0,24.0,29.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,block_1/strong_t_72_4.wav,timbre,t,strong,72.0,1.194355845,16.3115894,,,,Y,Chinese unbranded,0,no,m,37,L,y,1,2020-09-07_08h44.56.737,kura-B2,2020.1.2,Win32,60,,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.8290200000046752,1.3057250000128988,2.1071050000027753,2.8240200000000186,3.586634999985108,4.427159999992,5.202155000006314,6.005689999990864,6.707894999999553,7.536939999990864,8.30926000000909,9.067780000012135,9.87517499999376,10.61505500000203,11.446629999991274,12.286495000007562,13.054960000008577,13.80475499999011,14.614494999987073,15.377600000007078]",space,0.47787,0.0,25.0,25.0,1.0,1.0,,,,,,,,,,,,,
