subject,subcat,coupling,tapsection,mx,sx
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,strong,4,0.9915623137666667,0.10378743288070012
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,strong,5,0.9811817855185184,0.07002987541835033
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,strong,6,1.01652115625,0.07328846657284938
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,strong,0,0.9758065144333333,0.11897173170583199
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,strong,1,1.0057095178,0.03924071300696583
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,strong,2,0.9997604668999999,0.03775271414778281
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,strong,3,0.9861294847333333,0.0386344282944226
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,strong,4,1.0041813808333333,0.03449233954195126
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,strong,5,1.0008508447,0.03577822780083916
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,strong,6,0.9943777283999999,0.032347532106971645
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,strong,0,0.9093583192000001,0.1729566776102178
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,strong,1,1.0000714569333333,0.05134718633645769
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,strong,2,1.0005994397,0.0723701167725423
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,strong,3,0.9961468614,0.07526091739963778
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,strong,4,1.0093811174666667,0.08710170566152024
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,strong,5,0.9839282655666666,0.10652353379019545
PARTICIPANT_kura-B2_2020-09-07_21h13.50.539.csv,regular,strong,6,1.0166692909,0.06739404297448741
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,strong,0,0.9389918428333331,0.23695192449379537
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,strong,1,0.9926324675333333,0.06360449460681285
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,strong,2,0.9991197413999999,0.07284620569772271
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,strong,3,0.9896420905666666,0.07836204088514676
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,strong,4,0.9808660339333333,0.16008992703409153
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,strong,5,0.9987979805666666,0.06050888766343079
PARTICIPANT_kura-B2_2020-09-10_18h03.12.198.csv,regular,strong,6,1.0075143317,0.05937404910184152
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,strong,0,0.9481706666666665,0.1486099367451353
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,strong,1,1.0287396111333333,0.20851475674490222
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,strong,2,0.9928844444999999,0.0778490569438102
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,strong,3,1.0145609444,0.12490485264513276
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,strong,4,0.9932339444333335,0.05751723180008721
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,strong,5,0.9795557778,0.06372135900266493
PARTICIPANT_kura-B2_2020-09-25_19h37.04.527.csv,regular,strong,6,1.038812037,0.09290927729411608
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,medium,0,0.9369438334000001,0.1441587147657119
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,medium,1,0.9830900180333334,0.04758690569018292
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,medium,2,1.0207891046333333,0.09866033258415097
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,medium,3,1.0066527264642857,0.06031774948930973
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,medium,4,0.9874758793999999,0.038228893176278186
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,medium,5,1.141216125,0.0
PARTICIPANT_kura-A1_2020-10-01_10h17.21.641.csv,regular,medium,6,nan,nan
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,medium,0,1.1747829444666669,0.2652835197719109
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,medium,1,1.1117378889,0.21635881191119044
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,medium,2,1.128865388933333,0.2263363228167653
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,medium,3,1.1417676190714288,0.21432478530322482
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,medium,4,1.0865073718461538,0.18257982597379863
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,medium,5,1.033506282076923,0.10754865723901239
PARTICIPANT_kura-A1_2020-10-03_10h29.30.435.csv,regular,medium,6,nan,nan
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,medium,0,1.0430925555333332,0.3752695526645233
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,medium,1,1.0830123333000001,0.22935812390223506
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,medium,2,1.0002954762857144,0.15798425893698242
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,medium,3,0.9722924073703704,0.11062644765152721
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,medium,4,1.0013166048888889,0.06704449070312957
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,medium,5,1.00127041675,0.05649379242689032
PARTICIPANT_kura-A1_2020-10-04_12h32.21.589.csv,regular,medium,6,1.008622,0.047377646155387594
PARTICIPANT_kura-A1_2020-10-05_06h37.13.057.csv,regular,medium,0,1.0163892652666666,0.4308924596339076
PARTICIPANT_kura-A1_2020-10-05_06h37.13.057.csv,regular,medium,1,1.1884808652666665,1.003060097764222
PARTICIPANT_kura-A1_2020-10-05_06h37.13.057.csv,regular,medium,2,0.9893047444333333,0.05185307919727331
PARTICIPANT_kura-A1_2020-10-05_06h37.13.057.csv,regular,medium,3,1.0114343600666666,0.06343665061887235
PARTICIPANT_kura-A1_2020-10-05_06h37.13.057.csv,regular,medium,4,1.0224890697199998,0.04462946733856112
PARTICIPANT_kura-A1_2020-10-05_06h37.13.057.csv,regular,medium,5,1.0030203987692308,0.04096573740005501
PARTICIPANT_kura-A1_2020-10-05_06h37.13.057.csv,regular,medium,6,nan,nan
PARTICIPANT_kura-A1_2020-10-05_09h41.04.130.csv,regular,medium,0,1.0109118078,0.25664931180073647
PARTICIPANT_kura-A1_2020-10-05_09h41.04.130.csv,regular,medium,1,1.0085083744333334,0.1418706353891679
PARTICIPANT_kura-A1_2020-10-05_09h41.04.130.csv,regular,medium,2,0.9646191452999999,0.10775913591456363
PARTICIPANT_kura-A1_2020-10-05_09h41.04.130.csv,regular,medium,3,0.9890443661999999,0.07936303577510716
PARTICIPANT_kura-A1_2020-10-05_09h41.04.130.csv,regular,medium,4,0.9963012875333334,0.10407178404803366
PARTICIPANT_kura-A1_2020-10-05_09h41.04.130.csv,regular,medium,5,0.9682049127333333,0.1304434081285163
PARTICIPANT_kura-A1_2020-10-05_09h41.04.130.csv,regular,medium,6,0.975595018875,0.05843988914027469
PARTICIPANT_kura-A1_2020-10-05_10h32.11.341.csv,regular,medium,0,1.149067183,0.2602226200685955
PARTICIPANT_kura-A1_2020-10-05_10h32.11.341.csv,regular,medium,1,1.0839817236333333,0.16542704485427093
PARTICIPANT_kura-A1_2020-10-05_10h32.11.341.csv,regular,medium,2,1.0913189713333336,0.2017085401377603
PARTICIPANT_kura-A1_2020-10-05_10h32.11.341.csv,regular,medium,3,1.0386473272333334,0.09734911996535428
PARTICIPANT_kura-A1_2020-10-05_10h32.11.341.csv,regular,medium,4,1.0723627805172413,0.22191155651954883
PARTICIPANT_kura-A1_2020-10-05_10h32.11.341.csv,regular,medium,5,0.9757240032500001,0.1751718289810116
PARTICIPANT_kura-A1_2020-10-05_10h32.11.341.csv,regular,medium,6,nan,nan
PARTICIPANT_kura-A2_2020-09-15_15h15.11.125.csv,regular,medium,0,1.8819317094814811,1.5258534569948048
PARTICIPANT_kura-A2_2020-09-15_15h15.11.125.csv,regular,medium,1,1.8699470862307694,2.172827370621741
PARTICIPANT_kura-A2_2020-09-15_15h15.11.125.csv,regular,medium,2,1.6342942241111114,1.6776722074146175
PARTICIPANT_kura-A2_2020-09-15_15h15.11.125.csv,regular,medium,3,1.2557408083846153,1.0433567606948047
PARTICIPANT_kura-A2_2020-09-15_15h15.11.125.csv,regular,medium,4,0.6569054093750001,0.4602548377344515
PARTICIPANT_kura-A2_2020-09-15_15h15.11.125.csv,regular,medium,5,0.9330331749999999,0.5962410731925523
PARTICIPANT_kura-A2_2020-09-15_15h15.11.125.csv,regular,medium,6,0.924067375,0.0
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,medium,0,1.0974066666666669,0.4214676299674808
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,medium,1,1.0336626667,0.14458430682069434
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,medium,2,1.0332478334,0.16066275541207425
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,medium,3,1.0246775862068966,0.1325442366173176
