subject,condition,section,mx,sx
GG_rev-kura_tap_2blocks_2019_Jul_23_1421.csv,weak,2,1.0440273884229474,0.14604245530887927
BB_rev-kura_tap_2blocks_2019_Jul_20_1606.csv,weak,0,0.9787444630000783,0.25453699256189244
BB_rev-kura_tap_2blocks_2019_Jul_20_1606.csv,weak,1,0.95056425994835,0.19756661615302087
BB_rev-kura_tap_2blocks_2019_Jul_20_1606.csv,weak,2,0.942721982199683,0.20068493359960396
II_rev-kura_tap_2blocks_2019_Jul_24_1507.csv,weak,0,0.9242597472806376,0.10384429135134901
II_rev-kura_tap_2blocks_2019_Jul_24_1507.csv,weak,1,0.9778786094329062,0.12934329105145784
II_rev-kura_tap_2blocks_2019_Jul_24_1507.csv,weak,2,1.0373326811276335,0.14270358309430325
JJ_rev-kura_tap_2blocks_2019_Jul_24_1535.csv,weak,0,0.9765570783809903,0.2024081481769886
JJ_rev-kura_tap_2blocks_2019_Jul_24_1535.csv,weak,1,0.9805306603857085,0.2215975362681574
JJ_rev-kura_tap_2blocks_2019_Jul_24_1535.csv,weak,2,0.8890539799046377,0.19765717918202244
FF_rev-kura_tap_2blocks_2019_Jul_23_1350.csv,weak,0,0.9130306415629563,0.09868319689189353
FF_rev-kura_tap_2blocks_2019_Jul_23_1350.csv,weak,1,0.9503618267253535,0.07506684967083536
FF_rev-kura_tap_2blocks_2019_Jul_23_1350.csv,weak,2,0.9340178427709388,0.07907917604686747
HH_rev-kura_tap_2blocks_2019_Jul_23_1509.csv,weak,0,0.2650605625525493,0.026362999897796717
HH_rev-kura_tap_2blocks_2019_Jul_23_1509.csv,weak,1,0.2690473212524285,0.03900903627062679
HH_rev-kura_tap_2blocks_2019_Jul_23_1509.csv,weak,2,0.26021509970653,0.02985727416645931
CC_rev-kura_tap_2blocks_2019_Jul_22_1529.csv,weak,0,0.8913048671980841,0.1762660356302258
CC_rev-kura_tap_2blocks_2019_Jul_22_1529.csv,weak,1,0.9111882448828018,0.13089602563764455
CC_rev-kura_tap_2blocks_2019_Jul_22_1529.csv,weak,2,0.9135370734810613,0.10244535282545134
DD_rev-kura_tap_2blocks_2019_Jul_23_1227.csv,weak,0,0.9561318845944086,0.19782038340042746
DD_rev-kura_tap_2blocks_2019_Jul_23_1227.csv,weak,1,0.9728957901484931,0.1456402719513668
DD_rev-kura_tap_2blocks_2019_Jul_23_1227.csv,weak,2,0.9874361685836652,0.12198385816636613
