sndfile,tempo,cond,delay,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate
./stimuli_1/tmp/medium_110_1.wav,110,medium,1.622365135,,,,,0,17,17,10,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.3969299750169739, 0.6978790940484032, 1.1475698669673875, 1.7148590909782797, 2.2649909160099924, 2.864717044052668, 3.44828035205137, 4.0309407239547, 4.6483791479840875, 5.248236209969036, 5.836402880959213, 6.38181553396862, 6.986410718993284, 7.549118943046778, 8.11523615301121, 8.682357448968105, 9.231983765028417, 9.83218298398424]",space,0.518622604,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/perfect_95_1.wav,95,perfect,0.865959209,,,,,0,18,18,22,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.15273068298120052, 0.8615472519304603, 1.575908471015282, 2.227987334015779, 2.862205379991792, 3.5120789810316637, 4.128461251035333, 4.779041877947748, 5.362059460952878, 5.962376010022126, 6.6023831110214815, 7.262921040994115, 7.878527118940838, 8.496654581977054, 9.129528951947577, 9.763390072039329]",space,0.501763664,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/strong_100_1.wav,100,strong,1.229833762,,,,,0,19,19,37,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.26940424006897956, 0.7701696160947904, 1.436244119075127, 2.120465905056335, 2.736480359104462, 3.370073107071221, 4.010528872022405, 4.686743129044771, 5.3247815440408885, 5.9686296141007915, 6.620403755106963, 7.237988399108872, 7.894054635078646, 8.55398587801028, 9.22191644308623, 9.838134376099333]",space,0.44392771,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/strong_95_1.wav,95,strong,1.223859269,,,,,0,20,20,33,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.1518728529335931, 0.6520491560222581, 1.2250626269960776, 1.8685287670232356, 2.469276375020854, 3.052224787999876, 3.687818116042763, 4.268970691016875, 4.8763911300338805, 5.4865644070087, 6.119791320990771, 6.720110657042824, 7.319970375974663, 7.909333918010816, 8.55352885404136, 9.136667106999084, 9.721058922004886]",space,0.27454328,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/strong_90_2.wav,90,strong,1.295458158,,,,,0,21,21,36,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.16857466602232307, 0.7782009050715715, 1.4857646099990234, 2.1361981640802696, 2.8123054180759937, 3.453146692016162, 4.1031454839976504, 4.778191194054671, 5.41892526904121, 6.069759723031893, 6.736040618037805, 7.378553610993549, 8.053801387082785, 8.725123485084623, 9.353671815013513, 9.985588522977196]",space,0.389848196,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/strong_110_1.wav,110,strong,2.342405955,,,,,0,22,22,8,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.23536493489518762, 0.6437829768983647, 1.1532380289863795, 1.7195017649792135, 2.2431481539970264, 2.8354388879379258, 3.386595425894484, 3.9687869529007003, 4.586680651991628, 5.145818593911827, 5.687002264894545, 6.32017654995434, 6.852341703954153, 7.419938292005099, 8.002013087971136, 8.592268660897389, 9.203296533902176, 9.770861033000983]",space,0.352632777,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/medium_95_2.wav,95,medium,2.475357683,,,,,0,23,23,14,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.1526849470101297, 0.6365836670156568, 1.2868013139814138, 2.024410936050117, 2.819163501029834, 3.454071387066506, 4.170290561043657, 4.906190501991659, 5.603757976088673, 6.286735704983585, 6.963028733036481, 7.670811763033271, 8.354145269026048, 9.054458818980493, 9.719955281005241]",space,0.551442405,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/vweak_95_2.wav,95,veryweak,1.139932226,,,,,0,24,24,30,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.16842504497617483, 0.6947029689326882, 1.2525746609317139, 1.835849685012363, 2.4359379769302905, 3.0860778149217367, 3.744562371983193, 4.352380210999399, 4.951052855933085, 5.570191936916672, 6.209794202004559, 6.836540751974098, 7.486317393020727, 8.134632010012865, 8.753948834957555, 9.34367410093546, 9.96960675693117]",space,0.653209925,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/perfect_110_1.wav,110,perfect,1.770427147,,,,,0,25,25,18,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.00044905801769346, 0.9072804469615221, 1.4025114530231804, 1.955289828008972, 2.5023027679417282, 3.0565001199720427, 3.586718133999966, 4.135870678001083, 4.684294959995896, 5.220624128938653, 5.790629672934301, 6.3373090559616685, 6.877694709924981, 7.420573576004244, 7.920207199989818, 8.503681257017888, 10.120755910989828]",space,0.860147458,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
./stimuli_1/tmp/strong_110_2.wav,110,strong,1.936991173,,,,,0,26,26,6,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.15261877398006618, 0.7090596319176257, 1.1847772669279948, 1.7028367089806125, 2.212262111948803, 2.852320240926929, 3.419682477018796, 4.033923981944099, 4.609911202918738, 5.136083427001722, 5.786488203913905, 6.38635709695518, 6.986802038969472, 7.552627761964686, 8.12001308100298, 8.753531617927365, 9.336814902024344, 9.903928120969795]",space,0.60703467,,,,,,,BB,1,2019_Jul_20_1606,rev-kura_tap_2blocks,3.0.6,60.08821456
